instrument,component,target_weight,market_beta,sector_beta,beta_observations,sector_hedge
PSX,refiner,0.0,,,0,XLE
DK,refiner,0.0,,,0,XLE
DINO,refiner,0.0,,,0,XLE
MUSA,fuel,0.038,-0.4,0.0,252,
CASY,fuel,0.038,0.1,0.0,252,
FTI,services,-0.105,0.6,0.8,252,XLE
OII,services,-0.07,1.2,1.0,252,XLE
DHT,shipping,0.035,0.2,0.1,252,XLE
FRO,shipping,0.035,0.2,0.2,252,XLE
TNK,shipping,0.035,0.3,0.2,252,XLE
STNG,shipping,0.035,0.1,0.3,252,XLE
INSW,shipping,0.035,0.3,0.3,252,XLE
AVNT,chemical,-0.021,1.1,0.0,252,XLE
ASH,chemical,-0.0,,,0,XLE
CE,chemical,-0.021,1.0,1.0,252,XLE
DOW,chemical,-0.021,0.6,1.2,252,XLE
EMN,chemical,-0.021,1.3,0.4,252,XLE
HUN,chemical,-0.021,1.7,0.6,252,XLE
LYB,chemical,-0.021,0.2,1.2,252,XLE
WLK,chemical,-0.021,1.0,0.8,252,XLE
ATI,metals,0.025,1.1,0.3,252,XME
CRS,metals,0.025,0.9,0.3,252,XME
ERO,bwt,-0.017,0.5,1.0,252,XME
TECK,bwt,-0.017,0.9,0.7,252,XME
NEXA,bwt,-0.017,0.8,0.7,252,XME
